,0
0,0.275
1,0.53
2,0.556
3,0.539
4,0.55
5,0.726
6,0.489
7,0.286
8,0.457
9,0.506
10,0.644
11,0.523
12,0.439
13,0.603
14,0.403
15,0.451
16,0.561
17,0.417
18,0.582
19,0.616
20,0.296
21,0.602
22,0.489
23,0.47
24,0.638
25,0.647
26,0.513
27,0.562
28,0.318
29,0.463
30,0.557
31,0.6
32,0.541
33,0.679
34,0.523
35,0.487
36,0.563
37,0.625
38,0.632
39,0.564
40,0.345
41,0.734
42,0.618
43,0.672
44,0.648
45,0.332
46,0.566
47,0.5
48,0.514
49,0.435
50,0.613
51,0.378
52,0.494
53,0.523
54,0.398
55,0.157
56,0.563
57,0.492
58,0.513
59,0.459
60,0.616
61,0.633
62,0.511
63,0.643
64,0.448
65,0.576
66,0.603
67,0.418
68,0.44
69,0.444
70,0.611
71,0.568
72,0.471
73,0.601
74,0.599
75,0.519
76,0.582
77,0.637
78,0.663
79,0.58
80,0.492
81,0.571
82,0.522
83,0.469
84,0.673
85,0.399
86,0.413
87,0.606
88,0.541
89,0.646
90,0.548
91,0.519
92,0.553
93,0.325
94,0.661
95,0.548
96,0.409
97,0.57
98,0.566
99,0.65
100,0.507
101,0.686
102,0.66
103,0.556
104,0.472
105,0.511
106,0.343
107,0.44
108,0.521
109,0.649
110,0.64
111,0.45
112,0.568
113,0.465
114,0.447
115,0.487
116,0.39
117,0.555
118,0.595
119,0.51
120,0.618
121,0.513
122,0.599
123,0.636
124,0.392
125,0.669
126,0.588
127,0.541
128,0.553
129,0.614
130,0.654
131,0.712
132,0.534
133,0.576
134,0.404
135,0.386
136,0.488
137,0.567
138,0.607
139,0.452
140,0.385
141,0.597
142,0.463
143,0.427
144,0.652
145,0.622
146,0.568
147,0.593
148,0.608
149,0.748
150,0.468
151,0.545
152,0.527
153,0.43
154,0.397
155,0.381
156,0.509
157,0.495
158,0.345
159,0.695
160,0.5
161,0.455
162,0.559
163,0.586
164,0.444
165,0.496
166,0.444
167,0.692
168,0.62
169,0.656
170,0.348
171,0.662
172,0.581
173,0.608
174,0.564
175,0.463
176,0.527
177,0.577
178,0.596
179,0.484
180,0.54
181,0.55
182,0.604
183,0.725
184,0.484
185,0.687
186,0.908
187,0.505
188,0.734
189,0.466
190,0.625
191,0.556
192,0.629
193,0.567
194,0.685
195,0.556
196,0.621
197,0.621
198,0.557
199,0.585
200,0.428
201,0.526
202,0.652
203,0.518
204,0.525
205,0.514
206,0.458
207,0.571
208,0.645
209,0.244
210,0.412
211,0.747
212,0.595
213,0.664
214,0.39
215,0.534
216,0.623
217,0.506
218,0.596
219,0.409
220,0.614
221,0.49
222,0.531
223,0.782
224,0.453
225,0.319
226,0.65
227,0.424
228,0.435
229,0.617
230,0.399
231,0.7
232,0.493
233,0.537
234,0.505
235,0.612
236,0.523
237,0.623
238,0.482
239,0.518
240,0.578
241,0.702
242,0.568
243,0.519
244,0.462
245,0.625
246,0.658
247,0.362
248,0.534
249,0.473
250,0.692
251,0.523
252,0.634
253,0.406
254,0.577
255,0.479
256,0.478
257,0.529
258,0.454
259,0.611
260,0.486
261,0.785
262,0.654
263,0.62
264,0.519
265,0.663
266,0.445
267,0.394
268,0.546
269,0.586
270,0.382
271,0.669
272,0.431
273,0.584
274,0.505
275,0.502
276,0.477
277,0.568
278,0.502
279,0.762
280,0.632
281,0.581
282,0.534
283,0.573
284,0.308
285,0.513
286,0.432
287,0.502
288,0.371
289,0.522
290,0.686
291,0.642
292,0.378
293,0.214
294,0.487
295,0.545
296,0.524
297,0.489
298,0.655
299,0.641
300,0.55
301,0.54
302,0.457
303,0.75
304,0.646
305,0.663
306,0.539
307,0.655
308,0.593
309,0.756
310,0.658
311,0.632
312,0.64
313,0.511
314,0.559
315,0.646
316,0.474
317,0.404
318,0.565
319,0.615
320,0.696
321,0.492
322,0.582
323,0.573
324,0.474
325,0.477
326,0.439
327,0.517
328,0.542
329,0.806
330,0.63
331,0.622
332,0.456
333,0.672
334,0.515
335,0.525
336,0.563
337,0.662
338,0.563
339,0.681
340,0.484
341,0.573
342,0.669
343,0.68
344,0.624
345,0.621
346,0.522
347,0.359
348,0.567
349,0.638
350,0.393
351,0.441
352,0.596
353,0.555
354,0.582
355,0.494
356,0.417
357,0.479
358,0.597
359,0.581
360,0.681
361,0.413
362,0.676
363,0.496
364,0.465
365,0.442
366,0.307
367,0.644
368,0.575
369,0.496
370,0.533
371,0.624
372,0.63
373,0.493
374,0.538
375,0.606
376,0.399
377,0.446
378,0.609
379,0.486
380,0.643
381,0.445
382,0.694
383,0.419
384,0.652
385,0.38
386,0.416
387,0.649
388,0.679
389,0.437
390,0.405
391,0.509
392,0.405
393,0.499
394,0.49
395,0.328
396,0.482
397,0.469
398,0.489
399,0.685
400,0.635
401,0.625
402,0.454
403,0.415
404,0.435
405,0.59
406,0.453
407,0.334
408,0.562
409,0.513
410,0.475
411,0.731
412,0.414
413,0.673
414,0.44
415,0.563
416,0.563
417,0.504
418,0.608
419,0.771
420,0.448
421,0.632
422,0.55
423,0.496
424,0.556
425,0.36
426,0.555
427,0.667
428,0.568
429,0.617
430,0.456
431,0.601
432,0.567
433,0.495
434,0.431
435,0.664
436,0.63
437,0.528
438,0.587
439,0.593
440,0.568
441,0.485
442,0.629
443,0.555
444,0.427
445,0.697
446,0.611
447,0.584
448,0.532
449,0.435
450,0.54
451,0.736
452,0.669
453,0.391
454,0.49
455,0.471
456,0.643
457,0.506
458,0.522
459,0.585
460,0.531
461,0.449
462,0.582
463,0.586
464,0.454
465,0.567
466,0.4
467,0.666
468,0.56
469,0.41
470,0.323
471,0.532
472,0.435
473,0.487
474,0.364
475,0.71
476,0.621
477,0.692
478,0.563
479,0.442
480,0.599
481,0.485
482,0.689
483,0.606
484,0.569
485,0.574
486,0.487
487,0.397
488,0.56
489,0.677
490,0.499
491,0.595
492,0.292
493,0.461
494,0.557
495,0.566
496,0.394
497,0.574
498,0.486
499,0.493
500,0.49
501,0.691
502,0.418
503,0.682
504,0.451
505,0.639
506,0.54
507,0.583
508,0.415
509,0.575
510,0.635
511,0.48
512,0.678
513,0.358
514,0.584
515,0.57
516,0.516
517,0.45
518,0.496
519,0.522
520,0.514
521,0.468
522,0.572
523,0.656
524,0.551
525,0.483
526,0.411
527,0.658
528,0.754
529,0.492
530,0.466
531,0.418
532,0.739
533,0.608
534,0.322
535,0.62
536,0.57
537,0.576
538,0.462
539,0.522
540,0.396
541,0.375
542,0.635
543,0.615
544,0.554
545,0.509
546,0.644
547,0.613
548,0.735
549,0.658
550,0.599
551,0.694
552,0.693
553,0.705
554,0.528
555,0.509
556,0.499
557,0.427
558,0.442
559,0.561
560,0.396
561,0.521
562,0.645
563,0.579
564,0.705
565,0.641
566,0.449
567,0.638
568,0.739
569,0.522
570,0.496
571,0.456
572,0.528
573,0.731
574,0.568
575,0.671
576,0.669
577,0.554
578,0.545
579,0.589
580,0.337
581,0.501
582,0.719
583,0.757
584,0.639
585,0.433
586,0.684
587,0.571
588,0.566
589,0.675
590,0.507
591,0.55
592,0.552
593,0.608
594,0.487
595,0.633
596,0.268
597,0.562
598,0.676
599,0.653
600,0.575
601,0.574
602,0.609
603,0.503
604,0.565
605,0.45
606,0.522
607,0.546
608,0.682
609,0.539
610,0.457
611,0.453
612,0.595
613,0.519
614,0.56
615,0.494
616,0.861
617,0.582
618,0.677
619,0.334
620,0.723
621,0.54
622,0.586
623,0.432
624,0.396
625,0.686
626,0.596
627,0.464
628,0.602
629,0.726
630,0.478
631,0.581
632,0.572
633,0.518
634,0.469
635,0.463
