,0
0,4.651
1,5.158
2,4.768
3,6.505
4,6.578
5,3.543
6,6.992
7,6.878
8,3.55
9,5.576
10,6.503
11,3.622
12,3.531
13,2.298
14,2.304
15,4.412
16,5.584
17,4.407
18,6.637
19,4.076
20,5.905
21,5.587
22,7.346
23,6.265
24,4.902
25,2.651
26,4.85
27,4.345
28,4.576
29,3.194
30,4.2
31,4.316
32,5.386
33,3.799
34,4.758
35,5.14
36,6.185
37,5.506
38,4.259
39,5.129
40,5.239
41,6.259
42,7.079
43,3.334
44,3.403
45,4.03
46,5.221
47,1.906
48,5.455
49,4.25
50,5.492
51,5.146
52,3.138
53,5.645
54,3.822
55,5.246
56,6.245
57,5.131
58,5.59
59,3.563
60,5.36
61,6.13
62,6.273
63,6.431
64,3.632
65,3.685
66,5.982
67,6.767
68,6.411
69,6.683
70,2.888
71,3.411
72,5.519
73,5.233
74,7.892
75,5.308
76,1.561
77,5.253
78,3.917
79,4.616
80,2.622
81,5.358
82,4.097
83,5.635
84,6.708
85,6.173
86,5.624
87,3.976
88,3.491
89,5.662
90,4.777
91,5.091
92,5.06
93,3.437
94,4.3
95,2.339
96,6.51
97,6.126
98,4.978
99,2.969
100,5.11
101,5.812
102,5.851
103,7.322
104,4.965
105,4.651
106,3.423
107,4.757
108,4.223
109,4.843
110,4.226
111,5.548
112,5.662
113,5.881
114,5.092
115,4.264
116,5.781
117,4.56
118,2.609
119,5.197
120,6.111
121,4.012
122,3.86
123,2.445
124,3.349
125,3.156
126,5.776
127,5.345
128,2.142
129,6.071
130,4.804
131,4.719
132,5.228
133,3.992
134,6.805
135,2.536
136,5.801
137,4.081
138,6.294
139,5.877
140,4.811
141,5.423
142,1.389
143,4.336
144,4.845
145,4.798
146,5.523
147,5.684
148,2.442
149,2.372
150,7.441
151,4.266
152,5.745
153,4.15
154,5.889
155,7.027
156,7.329
157,6.307
158,6.875
159,3.028
160,8.028
161,3.793
162,4.502
163,4.051
164,6.625
165,5.362
166,5.149
167,5.195
168,3.112
169,4.789
170,5.449
171,5.225
172,3.463
173,2.765
174,7.187
175,5.02
176,9.083
177,5.949
178,5.398
179,6.087
180,4.5
181,4.918
182,5.353
183,6.442
184,6.989
185,2.346
186,2.848
187,5.457
188,2.876
189,6.833
190,8.176
191,8.823
192,4.896
193,5.652
194,6.727
195,4.365
196,5.432
197,4.914
198,5.927
199,3.508
200,6.243
201,2.722
202,7.313
203,6.17
204,7.675
205,4.172
206,6.197
207,4.462
208,6.448
209,4.586
210,7.075
211,3.925
212,3.486
213,2.804
214,6.341
215,7.635
216,3.615
217,5.087
218,6.131
219,5.525
220,4.475
221,3.889
222,3.5
223,5.155
224,4.199
225,5.952
226,6.387
227,3.416
228,4.03
229,5.8
230,5.181
231,5.44
232,5.312
233,6.42
234,5.4
235,6.709
236,6.941
237,6.988
238,0.602
239,6.344
240,4.109
241,4.687
242,7.135
243,1.395
244,6.34
245,5.726
246,4.513
247,4.835
248,7.555
249,6.664
250,5.072
251,6.293
252,4.75
253,3.528
254,4.951
255,5.135
256,5.629
257,3.768
258,6.945
259,4.062
260,4.032
261,5.906
262,4.289
263,6.326
264,5.586
265,5.771
266,6.232
267,1.948
268,5.156
269,7.026
270,7.225
271,6.433
272,6.505
273,4.335
274,3.861
275,3.56
276,6.735
277,5.38
278,6.77
279,4.771
280,5.819
281,7.237
282,8.398
283,3.623
284,5.084
285,3.33
286,6.701
287,5.576
288,6.893
289,4.255
290,5.322
291,5.907
292,3.075
293,7.322
294,6.149
295,1.662
296,3.966
297,6.315
298,6.156
299,3.534
300,6.026
301,4.607
302,3.757
303,6.869
304,7.183
305,4.24
306,6.245
307,7.051
308,5.728
309,5.941
310,5.676
311,4.912
312,6.452
313,4.254
314,4.23
315,3.104
316,2.391
317,5.34
318,2.087
319,2.681
320,5.256
321,3.167
322,5.795
323,4.936
324,6.178
325,4.916
326,4.721
327,3.085
328,5.596
329,4.566
330,2.657
331,7.376
332,5.958
333,3.373
334,4.293
335,5.52
336,5.906
337,3.326
338,5.357
339,3.824
340,3.339
341,1.518
342,1.642
343,2.994
344,4.592
345,4.696
346,5.572
347,0.573
348,4.165
349,5.608
350,2.958
351,5.922
352,6.987
353,3.299
354,3.25
355,6.881
356,5.787
357,6.771
358,8.798
359,6.852
360,3.785
361,5.279
362,4.813
363,6.792
364,3.264
365,6.39
366,5.935
367,5.807
368,1.302
369,4.85
370,4.786
371,6.788
372,3.08
373,3.419
374,3.869
375,3.381
376,4.795
377,6.966
378,2.857
379,2.166
380,5.901
381,4.522
382,3.534
383,6.573
384,4.826
385,5.634
386,4.061
387,5.681
388,5.456
389,7.177
390,5.66
391,6.596
392,7.595
393,6.403
394,3.027
395,6.336
396,6.584
397,4.586
398,4.413
399,5.873
400,2.303
401,5.407
402,4.125
403,5.901
404,5.186
405,5.069
406,7.636
407,1.947
408,4.531
409,3.778
410,7.225
411,5.687
412,6.958
413,7.82
414,4.217
415,5.349
416,6.102
417,1.1
418,5.308
419,3.891
420,6.369
421,6.879
422,5.712
423,5.861
424,6.968
425,7.136
426,5.255
427,8.006
428,3.991
429,4.377
430,5.706
431,4.7
432,5.922
433,5.691
434,2.238
435,6.661
436,5.681
437,1.723
438,2.995
439,3.83
440,3.566
441,3.532
442,4.565
443,4.947
444,4.154
445,6.173
446,7.128
447,3.884
448,6.22
449,4.942
450,3.68
451,5.039
452,4.085
453,6.131
454,3.05
455,1.436
