,0
0,7.924
1,0.44
2,4.434
3,8.49
4,7.326
5,7.467
6,10.148
7,7.367
8,4.1
9,7.162
10,9.825
11,4.444
12,7.813
13,5.778
14,4.414
15,3.928
16,6.792
17,1.762
18,3.211
19,8.362
20,5.601
21,4.295
22,3.261
23,2.321
24,1.111
25,6.407
26,2.777
27,6.994
28,1.735
29,7.485
30,4.734
31,7.685
32,6.447
33,7.495
34,5.739
35,2.764
36,5.27
37,5.093
38,3.284
39,4.983
40,7.925
41,7.818
42,6.131
43,0.93
44,5.434
45,11.17
46,6.355
47,5.814
48,7.988
49,4.675
50,7.91
51,3.282
52,3.652
53,5.256
54,2.327
55,5.05
56,8.773
57,10.635
58,5.066
59,5.705
60,2.435
61,10.786
62,-0.248
63,4.97
64,6.449
65,8.058
66,4.436
67,5.171
68,4.785
69,6.804
70,8.082
71,4.731
72,5.752
73,2.172
74,7.015
75,4.444
76,1.985
77,4.416
78,9.235
79,3.021
80,4.809
81,7.482
82,4.472
83,4.523
84,1.346
85,12.64
86,8.964
87,7.881
88,4.382
89,7.119
90,3.12
91,9.945
92,8.977
93,7.232
94,4.995
95,6.946
96,4.583
97,3.443
98,10.544
99,8.778
100,5.165
101,-0.485
102,6.449
103,5.746
104,2.129
105,6.386
106,6.955
107,6.148
108,1.929
109,4.113
110,10.096
111,3.989
112,8.183
113,3.76
114,3.169
115,4.785
116,0.806
117,5.393
118,3.086
119,-1.996
120,3.195
121,3.221
122,5.698
123,6.11
124,3.997
125,7.614
126,10.201
127,7.589
128,4.647
129,10.331
130,6.903
131,7.062
132,10.321
133,7.303
134,7.768
135,8.533
136,6.768
137,2.234
138,5.474
139,2.404
140,1.425
141,7.746
142,6.603
143,7.473
144,5.38
145,8.689
146,6.956
147,5.101
148,10.618
149,8.593
150,6.571
151,7.773
152,7.349
153,3.443
154,8.483
155,5.5
156,7.145
157,6.049
158,5.638
159,7.736
160,6.611
161,9.003
162,4.671
163,6.969
164,6.011
165,4.995
166,9.276
167,8.652
168,4.842
169,4.425
170,3.233
171,13.562
172,7.391
173,4.55
174,7.829
175,1.195
176,4.694
177,1.1
178,3.316
179,7.719
180,7.894
181,4.324
182,5.474
183,5.379
184,10.28
185,4.343
186,6.178
187,8.516
188,2.259
189,8.828
190,5.031
191,8.211
192,7.814
193,7.062
194,5.893
195,5.595
196,8.83
197,0.958
198,6.186
199,3.885
200,7.105
201,7.368
202,8.131
203,9.934
204,7.007
205,5.633
206,5.998
207,7.299
208,5.141
209,5.635
210,4.514
211,5.722
212,3.512
213,1.223
214,6.689
215,2.42
216,9.466
217,6.768
218,9.611
219,10.768
220,7.629
221,9.896
222,7.329
223,8.655
224,3.953
225,5.581
226,6.163
227,10.453
228,3.546
229,7.33
230,9.992
231,6.77
232,5.793
233,6.597
234,4.858
235,4.437
236,4.743
237,4.895
238,6.435
239,12.195
240,4.335
241,9.916
242,8.2
243,3.466
244,3.442
245,-0.42
246,6.642
247,8.386
248,7.081
249,10.171
250,7.147
251,9.669
252,8.451
253,5.978
254,6.019
255,9.392
256,4.038
257,8.385
258,9.562
259,9.276
260,4.23
261,5.349
262,1.206
263,3.161
264,5.72
265,4.54
266,4.036
267,5.923
268,9.227
269,5.601
270,5.758
271,5.458
272,2.987
273,7.102
274,2.282
275,1.024
276,4.236
277,3.664
278,15.169
279,4.387
280,2.762
281,5.557
282,7.433
283,7.416
284,7.346
285,9.555
286,6.79
287,3.867
288,8.4
289,5.825
290,7.605
291,5.109
292,4.752
293,6.227
294,5.566
295,2.959
296,7.218
297,3.935
298,5.241
299,9.85
300,8.121
301,10.27
302,9.22
303,3.649
304,7.407
305,6.77
306,6.146
307,3.286
308,7.099
309,5.825
310,5.311
311,3.852
312,5.84
313,6.494
314,2.507
315,6.151
316,7.309
317,4.616
318,2.14
319,3.099
320,6.681
321,1.991
322,5.283
323,7.147
324,5.6
325,5.055
326,4.74
327,9.565
328,9.777
329,3.159
330,4.017
331,4.674
332,1.726
333,4.237
334,5.943
335,5.262
336,4.368
337,7.701
338,2.251
339,8.5
340,4.691
341,-2.46
342,4.765
343,3.872
344,10.194
345,6.552
346,5.701
347,6.265
348,4.37
349,5.463
350,2.783
351,6.399
352,6.284
353,6.951
354,8.181
355,3.994
356,7.664
357,9.737
358,5.627
359,4.612
360,2.035
361,6.301
362,6.871
363,9.941
364,3.502
365,1.794
366,7.896
367,6.695
368,8.073
369,5.46
370,6.952
371,4.124
372,9.467
373,4.871
374,1.159
375,8.838
376,10.033
377,5.482
378,6.496
379,5.185
380,7.236
381,6.29
382,4.624
383,5.466
384,5.994
385,3.147
386,9.119
387,4.012
388,9.065
389,6.762
390,8.002
391,4.052
392,6.938
393,4.397
394,4.662
395,9.613
396,1.906
397,6.638
398,5.754
399,7.3
400,7.212
401,5.586
402,-1.637
403,6.156
404,7.994
405,6.726
406,9.257
407,0.689
408,6.499
409,7.886
410,5.331
411,7.73
412,7.89
413,5.656
414,7.409
415,5.157
416,7.626
417,6.02
418,5.236
419,3.266
420,8.392
421,9.151
422,5.27
423,7.365
424,7.92
425,5.645
426,5.518
427,10.558
428,4.278
429,5.457
430,8.621
431,7.458
432,6.296
433,5.833
434,6.104
435,3.473
436,5.121
437,7.216
438,-0.168
439,7.728
440,2.989
441,2.686
442,8.788
443,8.927
444,3.404
445,2.867
446,8.497
447,11.371
448,5.217
449,5.908
450,5.975
451,4.326
452,5.214
453,7.698
454,5.294
455,4.635
456,4.546
457,8.718
458,5.643
459,8.707
460,3.573
461,7.021
462,4.788
463,1.826
464,2.329
465,7.856
466,8.644
467,3.127
468,7.256
469,4.955
470,2.774
471,8.499
472,1.166
473,5.018
474,7.423
475,0.679
476,3.904
477,7.508
478,4.124
479,9.227
480,8.795
481,4.118
482,7.7
483,10.033
484,8.023
485,3.317
486,6.266
487,6.722
488,11.323
489,-0.294
490,8.33
491,8.642
492,0.708
493,7.273
494,2.655
495,2.934
496,7.386
497,5.016
498,8.497
499,5.806
500,6.691
501,7.094
502,5.618
503,5.057
504,4.5
505,7.404
506,6.105
507,6.322
508,0.031
509,9.054
510,8.266
511,2.3
512,2.525
513,2.416
514,3.893
515,9.255
516,6.014
517,2.899
518,3.571
519,6.585
520,6.449
521,5.535
522,4.37
523,2.74
524,1.541
525,4.473
526,1.6
527,7.311
528,7.495
529,8.037
530,4.468
531,5.596
532,5.457
533,4.396
534,8.58
535,8.618
536,7.015
537,1.215
538,3.419
539,6.839
540,10.283
541,6.414
542,2.141
543,5.187
544,4.846
545,5.271
546,5.722
547,7.509
548,4.829
549,4.865
550,6.905
551,8.471
552,7.781
553,2.184
554,0.296
555,3.448
556,7.007
557,3.802
558,5.31
559,4.818
560,6.881
561,9.458
562,4.349
563,6.884
564,5.738
565,6.005
566,0.394
567,4.959
568,9.151
569,4.643
570,6.168
571,2.958
572,7.814
573,7.022
574,3.857
575,3.641
576,7.902
577,7.441
578,11.55
579,9.578
580,8.452
581,5.209
582,3.253
583,2.016
584,5.263
585,5.154
586,4.572
587,-1.653
588,5.319
589,6.439
590,8.295
591,9.355
592,6.38
593,5.199
594,4.753
595,4.268
596,8.678
597,3.746
598,5.915
599,8.225
600,4.915
601,6.433
602,6.761
603,6.779
604,6.949
605,3.871
606,5.9
607,4.605
608,5.6
609,12.228
610,7.743
611,4.176
612,0.577
613,9.5
614,8.669
615,10.057
616,5.138
617,5.339
618,6.095
619,4.262
620,3.995
621,4.047
622,1.512
623,7.49
624,4.442
625,4.923
626,3.864
627,8.423
628,2.377
629,0.822
630,7.324
631,-1.071
632,2.073
633,8.581
634,-0.494
635,6.019
636,7.584
637,6.536
638,8.088
639,10.208
640,6.661
641,5.343
642,6.981
643,3.857
644,4.509
645,3.943
646,7.14
647,7.216
648,7.758
649,7.69
650,3.825
651,3.42
652,6.554
653,3.58
654,5.655
655,1.976
656,6.965
657,5.284
658,9.14
659,10.931
660,7.439
661,2.441
662,4.844
663,4.92
664,5.99
665,5.722
666,2.727
667,3.943
668,6.634
669,4.883
670,3.37
671,-0.061
672,3.739
673,5.664
674,4.248
675,3.395
676,9.192
677,6.924
678,7.259
679,2.214
680,5.532
681,8.815
682,4.574
683,8.873
684,6.257
685,6.882
686,5.64
687,5.185
688,8.274
689,6.971
690,5.997
691,6.409
692,8.445
693,9.57
694,3.785
695,4.092
696,9.125
697,4.047
698,5.384
699,2.856
700,6.064
701,6.111
702,8.136
703,7.431
704,6.42
705,1.369
706,6.13
707,8.74
708,10.285
709,10.29
710,7.829
711,3.015
712,11.942
713,11.511
714,7.129
715,4.622
716,4.397
717,7.662
718,5.263
719,2.913
720,4.466
721,5.112
722,3.909
723,5.39
724,3.734
725,6.416
726,7.397
727,5.825
728,5.155
729,7.902
730,4.014
731,3.04
732,3.616
733,7.999
734,4.134
735,5.706
736,5.806
737,3.585
738,6.435
739,3.708
740,4.199
741,4.068
742,10.572
743,12.105
744,5.481
745,5.966
746,7.865
747,1.922
748,8.181
749,2.856
