gender,age
Male,67
Female,61
Male,80
Female,49
Female,79
Male,81
Male,74
Female,69
Female,59
Female,78
Female,81
Female,61
Female,54
Male,78
Female,79
Female,50
Male,64
Male,75
Female,60
Male,57
Female,71
Female,52
Female,79
Male,82
Male,71
Male,80
Female,65
Male,58
Male,69
Male,59
Male,57
Male,42
Female,82
Male,80
Male,48
Female,82
Male,74
Female,72
Male,58
Female,49
Male,78
Male,54
Male,82
Female,63
Male,60
Male,76
Female,75
Female,58
Male,81
Female,39
Female,76
Male,78
Female,79
Female,77
Female,63
Male,63
Female,82
Male,78
Male,73
Female,54
Female,56
Female,80
Female,67
Female,45
Male,75
Male,78
Female,70
Male,76
Male,59
Female,80
Female,76
Female,67
Female,66
Male,63
Female,52
Female,80
Male,80
Female,79
Female,51
Male,43
Male,59
Female,66
Female,79
Female,68
Male,58
Male,54
Male,61
Female,70
Male,47
Male,74
Female,79
Male,81
Female,57
Female,80
Male,45
Female,78
Female,70
Male,58
Male,57
Female,69
Male,64
Female,77
Female,74
Female,81
Female,57
Male,58
Female,50
Female,54
Female,79
Female,53
Male,79
Male,80
Female,76
Female,45
Female,68
Male,71
Male,61
Male,74
Female,38
Female,77
Female,58
Female,53
Male,80
Male,56
Female,72
Female,72
Male,78
Female,80
Male,82
Female,75
Female,73
Female,78
Male,69
Female,38
Female,68
Female,71
Male,76
Female,76
Male,76
Female,75
Male,82
Female,59
Female,74
Female,69
Female,72
Male,66
Male,65
Female,78
Female,57
Female,70
Female,79
Male,68
Female,80
Male,68
Female,55
Female,77
Female,50
Female,57
Female,71
Female,81
Female,76
Male,71
Female,1.32
Female,78
Female,70
Male,78
Female,56
Male,79
Female,79
Male,81
Male,64
Female,79
Female,60
Female,80
Female,78
Male,72
Female,80
Male,78
Female,80
Male,81
Female,46
Male,59
Female,32
Female,77
Male,61
Male,63
Male,63
Female,82
Male,82
Male,61
Female,65
Male,51
Male,59
Male,68
Female,72
Male,59
Male,70
Male,69
Male,79
Female,74
Male,74
Male,80
Female,77
Female,78
Male,54
Female,78
Female,81
Male,78
Male,78
Female,63
Female,39
Female,51
Male,63
Female,48
Female,81
Female,79
Male,78
Female,55
Female,76
Male,73
Male,81
Male,79
Female,63
Female,81
Male,49
Female,57
Female,81
Male,74
Female,39
Female,80
Female,81
Female,79
Female,73
Female,77
Male,78
Female,68
Male,57
Male,77
Female,51
Male,60
Male,66
Male,57
Male,68
Female,68
Male,57
Female,14
Female,75
Male,71
Female,78
