Date,LA confirmed,MA confirmed,LA deaths,MA deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,1,0,0
2020-02-02,0,1,0,0
2020-02-03,0,1,0,0
2020-02-04,0,1,0,0
2020-02-05,0,1,0,0
2020-02-06,0,1,0,0
2020-02-07,0,1,0,0
2020-02-08,0,1,0,0
2020-02-09,0,1,0,0
2020-02-10,0,1,0,0
2020-02-11,0,1,0,0
2020-02-12,0,1,0,0
2020-02-13,0,1,0,0
2020-02-14,0,1,0,0
2020-02-15,0,1,0,0
2020-02-16,0,1,0,0
2020-02-17,0,1,0,0
2020-02-18,0,1,0,0
2020-02-19,0,1,0,0
2020-02-20,0,1,0,0
2020-02-21,0,1,0,0
2020-02-22,0,1,0,0
2020-02-23,0,1,0,0
2020-02-24,0,1,0,0
2020-02-25,0,1,0,0
2020-02-26,0,1,0,0
2020-02-27,0,1,0,0
2020-02-28,0,1,0,0
2020-02-29,0,1,0,0
2020-03-01,0,1,0,0
2020-03-02,0,1,0,0
2020-03-03,0,2,0,0
2020-03-04,0,2,0,0
2020-03-05,0,2,0,0
2020-03-06,0,6,0,0
2020-03-07,0,6,0,0
2020-03-08,0,22,0,0
2020-03-09,1,41,0,0
2020-03-10,5,92,0,0
2020-03-11,12,96,0,0
2020-03-12,18,108,0,0
2020-03-13,34,124,0,0
2020-03-14,85,138,1,0
2020-03-15,103,163,2,0
2020-03-16,136,197,3,0
2020-03-17,196,218,4,0
2020-03-18,280,256,7,0
2020-03-19,391,328,10,0
2020-03-20,535,416,14,1
2020-03-21,762,524,20,2
2020-03-22,837,645,20,5
2020-03-23,1163,776,34,9
2020-03-24,1384,1157,45,11
2020-03-25,1795,1835,65,15
2020-03-26,2303,2414,83,25
2020-03-27,2743,3240,119,35
2020-03-28,3313,4257,137,44
2020-03-29,3537,4851,153,48
2020-03-30,4023,5752,185,56
2020-03-31,5235,6620,238,89
2020-04-01,6424,7738,268,122
