Date,MI confirmed,MN confirmed,MI deaths,MN deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,1,0,0
2020-03-07,0,1,0,0
2020-03-08,0,1,0,0
2020-03-09,0,1,0,0
2020-03-10,2,2,0,0
2020-03-11,2,3,0,0
2020-03-12,12,10,0,0
2020-03-13,25,14,0,0
2020-03-14,33,21,0,0
2020-03-15,54,35,0,0
2020-03-16,54,54,0,0
2020-03-17,65,60,0,0
2020-03-18,80,77,1,0
2020-03-19,334,89,1,0
2020-03-20,549,115,3,1
2020-03-21,787,137,5,1
2020-03-22,1037,169,6,1
2020-03-23,1327,232,14,1
2020-03-24,1789,261,23,1
2020-03-25,2292,287,41,1
2020-03-26,2855,344,57,2
2020-03-27,3656,396,86,3
2020-03-28,4650,441,104,5
2020-03-29,5465,503,127,9
2020-03-30,6495,576,184,10
2020-03-31,7613,629,259,10
2020-04-01,9331,687,337,17
2020-04-02,10789,742,417,18
