Date,MO confirmed,MS confirmed,MO deaths,MS deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,1,0,0,0
2020-03-09,1,0,0,0
2020-03-10,1,0,0,0
2020-03-11,1,0,0,0
2020-03-12,2,1,0,0
2020-03-13,4,6,0,0
2020-03-14,5,10,0,0
2020-03-15,6,10,0,0
2020-03-16,8,12,0,0
2020-03-17,8,21,0,0
2020-03-18,21,34,1,0
2020-03-19,26,50,1,1
2020-03-20,72,80,3,1
2020-03-21,90,140,3,1
2020-03-22,106,206,3,1
2020-03-23,182,246,3,1
2020-03-24,255,313,5,1
2020-03-25,353,374,8,5
2020-03-26,502,484,8,6
2020-03-27,663,484,9,6
2020-03-28,829,484,10,6
2020-03-29,888,756,12,14
2020-03-30,1032,845,13,15
2020-03-31,1336,935,14,18
2020-04-01,1590,1064,18,21
2020-04-02,1832,1178,19,25
