Date,ND confirmed,NE confirmed,ND deaths,NE deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,1,0,0
2020-03-07,0,1,0,0
2020-03-08,0,1,0,0
2020-03-09,0,4,0,0
2020-03-10,0,5,0,0
2020-03-11,0,10,0,0
2020-03-12,1,11,0,0
2020-03-13,1,13,0,0
2020-03-14,1,18,0,0
2020-03-15,1,18,0,0
2020-03-16,1,18,0,0
2020-03-17,5,24,0,0
2020-03-18,7,26,0,0
2020-03-19,19,31,0,0
2020-03-20,26,36,0,0
2020-03-21,28,45,0,0
2020-03-22,30,49,0,0
2020-03-23,32,52,0,0
2020-03-24,36,55,0,0
2020-03-25,45,62,0,0
2020-03-26,58,73,0,0
2020-03-27,68,80,1,2
2020-03-28,93,108,1,2
2020-03-29,97,129,1,2
2020-03-30,109,153,3,3
2020-03-31,126,177,3,4
2020-04-01,147,214,3,5
2020-04-02,159,254,3,6
