Date,NY confirmed,OH confirmed,NY deaths,OH deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,1,0,0,0
2020-03-03,2,0,0,0
2020-03-04,11,0,0,0
2020-03-05,23,0,0,0
2020-03-06,25,0,0,0
2020-03-07,77,0,0,0
2020-03-08,107,0,0,0
2020-03-09,145,3,0,0
2020-03-10,173,3,0,0
2020-03-11,207,4,0,0
2020-03-12,325,5,0,0
2020-03-13,434,13,0,0
2020-03-14,527,25,3,0
2020-03-15,729,37,3,0
2020-03-16,950,50,14,0
2020-03-17,1544,67,22,0
2020-03-18,3052,86,30,0
2020-03-19,5637,119,50,0
2020-03-20,7848,169,48,1
2020-03-21,12208,247,78,3
2020-03-22,15832,351,139,3
2020-03-23,20909,431,185,6
2020-03-24,25578,562,284,8
2020-03-25,32968,705,407,10
2020-03-26,38976,867,545,15
2020-03-27,44813,1136,694,19
2020-03-28,53303,1405,992,25
2020-03-29,59240,1651,1235,29
2020-03-30,67194,1933,1569,39
2020-03-31,74447,2197,1991,55
2020-04-01,82133,2546,2490,65
