Date,OK confirmed,OR confirmed,OK deaths,OR deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,1,0,0
2020-03-01,0,1,0,0
2020-03-02,0,3,0,0
2020-03-03,0,3,0,0
2020-03-04,0,3,0,0
2020-03-05,0,3,0,0
2020-03-06,0,3,0,0
2020-03-07,1,6,0,0
2020-03-08,1,14,0,0
2020-03-09,2,14,0,0
2020-03-10,2,15,0,0
2020-03-11,2,19,0,0
2020-03-12,3,24,0,0
2020-03-13,4,30,0,0
2020-03-14,4,36,0,1
2020-03-15,8,39,0,1
2020-03-16,10,47,0,1
2020-03-17,17,65,0,1
2020-03-18,29,74,1,3
2020-03-19,43,88,1,3
2020-03-20,49,114,1,3
2020-03-21,53,137,1,4
2020-03-22,67,161,2,4
2020-03-23,81,190,2,5
2020-03-24,106,209,3,5
2020-03-25,164,265,5,10
2020-03-26,243,315,7,11
2020-03-27,243,414,7,12
2020-03-28,377,479,15,13
2020-03-29,429,548,16,13
2020-03-30,480,605,17,16
2020-03-31,566,689,23,18
2020-04-01,720,735,29,19
2020-04-02,877,825,34,21
