Date,PA confirmed,RI confirmed,PA deaths,RI deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,1,0,0
2020-03-02,0,2,0,0
2020-03-03,0,2,0,0
2020-03-04,0,2,0,0
2020-03-05,0,2,0,0
2020-03-06,2,2,0,0
2020-03-07,2,3,0,0
2020-03-08,6,3,0,0
2020-03-09,12,3,0,0
2020-03-10,14,5,0,0
2020-03-11,19,5,0,0
2020-03-12,22,5,0,0
2020-03-13,41,14,0,0
2020-03-14,47,20,0,0
2020-03-15,65,20,0,0
2020-03-16,75,21,0,0
2020-03-17,95,23,0,0
2020-03-18,132,33,1,0
2020-03-19,184,44,1,0
2020-03-20,268,44,1,0
2020-03-21,371,66,2,0
2020-03-22,478,83,2,0
2020-03-23,644,106,6,0
2020-03-24,851,106,7,0
2020-03-25,1195,131,11,0
2020-03-26,1687,165,16,0
2020-03-27,2217,203,22,0
2020-03-28,2750,239,34,2
2020-03-29,3393,267,38,3
2020-03-30,4081,406,48,4
2020-03-31,4839,485,63,8
2020-04-01,5805,563,74,10
2020-04-02,7016,651,90,12
