Date,VT confirmed,WA confirmed,VT deaths,WA deaths
2020-01-22,0,1,0,0
2020-01-23,0,1,0,0
2020-01-24,0,1,0,0
2020-01-25,0,1,0,0
2020-01-26,0,1,0,0
2020-01-27,0,1,0,0
2020-01-28,0,1,0,0
2020-01-29,0,1,0,0
2020-01-30,0,1,0,0
2020-01-31,0,1,0,0
2020-02-01,0,1,0,0
2020-02-02,0,1,0,0
2020-02-03,0,1,0,0
2020-02-04,0,1,0,0
2020-02-05,0,1,0,0
2020-02-06,0,1,0,0
2020-02-07,0,1,0,0
2020-02-08,0,1,0,0
2020-02-09,0,1,0,0
2020-02-10,0,1,0,0
2020-02-11,0,1,0,0
2020-02-12,0,1,0,0
2020-02-13,0,1,0,0
2020-02-14,0,1,0,0
2020-02-15,0,1,0,0
2020-02-16,0,1,0,0
2020-02-17,0,1,0,0
2020-02-18,0,1,0,0
2020-02-19,0,1,0,0
2020-02-20,0,1,0,0
2020-02-21,0,1,0,0
2020-02-22,0,1,0,0
2020-02-23,0,1,0,0
2020-02-24,0,1,0,0
2020-02-25,0,1,0,0
2020-02-26,0,1,0,0
2020-02-27,0,1,0,0
2020-02-28,0,1,0,0
2020-02-29,0,7,0,1
2020-03-01,0,11,0,1
2020-03-02,0,18,0,6
2020-03-03,0,27,0,7
2020-03-04,0,39,0,10
2020-03-05,0,70,0,11
2020-03-06,0,78,0,13
2020-03-07,0,102,0,16
2020-03-08,1,122,0,19
2020-03-09,1,162,0,23
2020-03-10,1,265,0,24
2020-03-11,1,365,0,29
2020-03-12,2,457,0,31
2020-03-13,2,568,0,37
2020-03-14,4,642,0,40
2020-03-15,4,769,0,42
2020-03-16,8,906,0,48
2020-03-17,12,1006,0,52
2020-03-18,18,1187,0,66
2020-03-19,20,1376,2,74
2020-03-20,32,1524,2,83
2020-03-21,48,1790,2,93
2020-03-22,53,1996,2,94
2020-03-23,76,2221,5,109
2020-03-24,95,2455,7,122
2020-03-25,123,2581,8,131
2020-03-26,158,3206,9,142
2020-03-27,184,3758,10,167
2020-03-28,211,4289,12,184
2020-03-29,234,4896,12,195
2020-03-30,256,5414,12,218
2020-03-31,292,5662,12,222
2020-04-01,320,6264,13,251
2020-04-02,338,6818,14,265
2020-04-03,389,7119,14,288
2020-04-04,461,7655,16,310
2020-04-05,512,8017,18,338
2020-04-06,543,8383,19,372
2020-04-07,575,8681,23,394
2020-04-08,605,9094,23,420
2020-04-09,628,9605,23,446
2020-04-10,679,9884,23,474
2020-04-11,711,10222,24,491
2020-04-12,727,10410,26,508
2020-04-13,748,10536,27,508
2020-04-14,752,10691,28,541
2020-04-15,759,10775,29,567
2020-04-16,768,11148,34,583
2020-04-17,779,11444,34,603
2020-04-18,802,11800,36,624
2020-04-19,811,11889,36,634
2020-04-20,813,12084,37,652
2020-04-21,816,12280,39,682
2020-04-22,820,12494,39,692
2020-04-23,824,12752,42,710
2020-04-24,826,12977,43,723
2020-04-25,841,13316,45,738
2020-04-26,849,13520,45,749
2020-04-27,854,13686,46,765
2020-04-28,861,13841,46,785
2020-04-29,861,14070,46,800
