Date,CA confirmed,CO confirmed,CA deaths,CO deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,2,0,0,0
2020-01-27,3,0,0,0
2020-01-28,3,0,0,0
2020-01-29,4,0,0,0
2020-01-30,4,0,0,0
2020-01-31,4,0,0,0
2020-02-01,4,0,0,0
2020-02-02,4,0,0,0
2020-02-03,6,0,0,0
2020-02-04,6,0,0,0
2020-02-05,6,0,0,0
2020-02-06,6,0,1,0
2020-02-07,6,0,1,0
2020-02-08,6,0,1,0
2020-02-09,6,0,1,0
2020-02-10,6,0,1,0
2020-02-11,7,0,1,0
2020-02-12,7,0,1,0
2020-02-13,8,0,1,0
2020-02-14,8,0,1,0
2020-02-15,8,0,1,0
2020-02-16,8,0,1,0
2020-02-17,8,0,2,0
2020-02-18,9,0,2,0
2020-02-19,9,0,2,0
2020-02-20,9,0,2,0
2020-02-21,12,0,2,0
2020-02-22,12,0,2,0
2020-02-23,12,0,2,0
2020-02-24,13,0,2,0
2020-02-25,13,0,2,0
2020-02-26,15,0,2,0
2020-02-27,16,0,2,0
2020-02-28,18,0,2,0
2020-02-29,22,0,2,0
2020-03-01,22,0,2,0
2020-03-02,30,0,2,0
2020-03-03,34,0,2,0
2020-03-04,48,0,3,0
2020-03-05,62,0,3,0
2020-03-06,79,3,4,0
2020-03-07,119,7,4,0
2020-03-08,131,7,4,0
2020-03-09,194,14,5,0
2020-03-10,221,18,6,0
2020-03-11,299,24,7,0
2020-03-12,325,49,7,0
2020-03-13,406,76,7,1
2020-03-14,504,99,7,1
2020-03-15,621,130,9,1
2020-03-16,740,159,14,1
2020-03-17,923,183,17,2
2020-03-18,1107,183,20,2
2020-03-19,1318,277,22,2
2020-03-20,1597,361,27,4
2020-03-21,1804,475,30,6
2020-03-22,2105,591,36,7
2020-03-23,2587,720,43,7
2020-03-24,2990,911,55,11
2020-03-25,3518,1086,70,19
2020-03-26,4368,1429,86,24
2020-03-27,5226,1732,103,31
2020-03-28,6058,2061,124,44
2020-03-29,6707,2306,135,47
2020-03-30,7643,2624,152,54
2020-03-31,8815,2965,185,69
2020-04-01,10172,3341,215,80
