Date,DE confirmed,FL confirmed,DE deaths,FL deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,1,0,0
2020-03-03,0,1,0,0
2020-03-04,0,1,0,0
2020-03-05,0,2,0,0
2020-03-06,0,2,0,2
2020-03-07,0,6,0,2
2020-03-08,0,9,0,2
2020-03-09,0,14,0,2
2020-03-10,0,25,0,2
2020-03-11,0,32,0,2
2020-03-12,4,42,0,2
2020-03-13,4,64,0,2
2020-03-14,6,96,0,3
2020-03-15,7,136,0,3
2020-03-16,8,168,0,5
2020-03-17,17,216,0,6
2020-03-18,26,328,0,7
2020-03-19,30,432,0,8
2020-03-20,39,652,0,10
2020-03-21,45,762,0,10
2020-03-22,56,1005,0,13
2020-03-23,87,1227,0,17
2020-03-24,104,1412,0,19
2020-03-25,119,1975,0,23
2020-03-26,119,2458,0,30
2020-03-27,165,3198,2,46
2020-03-28,214,4038,5,56
2020-03-29,232,4948,6,59
2020-03-30,264,5704,7,71
2020-03-31,319,6741,10,85
2020-04-01,368,7559,11,97
2020-04-02,393,9008,12,144
